category,maker,year,registrations
LMV,G.K. RICKSHAW,2016,0
3W,GAGAN AUTOMOTIVES,2016,0
LMV,GAIA INTERNATIONAL (IMPORTER: NEW ENERGY WAGON),2016,0
3W,GALVANIC AUTO PVT LTD,2016,0
LMV,GANAPATI AGRO INDUSTRIES,2016,0
3W,GARWARE MOTORS LIMITED,2016,0
2W,GAURA ELECTRIC VEHICLES PVT LTD,2016,0
3W,GAURI AUTO INDIA PVT. LTD,2016,0
3W,GAYAM MOTOR WORKS PRIVATE LIMITED,2016,0
3W,GAYATRI ELECTRIC VEHICLES,2016,0
3W,GEMAG CONSTRUCTION MACHINARY,2016,1
3W,GENERAL AGENCIES(KOLKATA) PVT LTD,2016,0
2W,GENERAL MOTORS INDIA PVT LTD,2016,1
3W,GENERAL MOTORS INDIA PVT LTD,2016,0
LMV,GENERAL MOTORS INDIA PVT LTD,2016,0
3W,GEO ALLIANCE,2016,0
3W,GILL AGRICULTURE WORKS,2016,0
3W,GILL AGROTECH,2016,0
3W,GIRNAR SCOOTERS LTD,2016,1
3W,GKON ELECTRIC MOTOR VEHICLES PVT LTD,2016,0
LMV,GKON ELECTRIC MOTOR VEHICLES PVT LTD,2016,0
2W,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,2016,0
3W,GOBIND INDUSTRIES PVT LTD,2016,0
2W,GODAWARI ELECTRIC MOTORS PVT LTD,2016,0
3W,GODAWARI ELECTRIC MOTORS PVT LTD,2016,0
3W,GODAWARI TECHNO SOLUTIONS PVT LTD,2016,0
LMV,GODREJ AND BOYCE MFG CO LTD,2016,6
3W,GOENKA ELECTRIC MOTOR VEH P L,2016,195
LMV,GOENKA ELECTRIC MOTOR VEH P L,2016,1
3W,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,2016,73
LMV,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,2016,0
2W,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),2016,0
2W,GOGORO INDIA PVT LTD,2016,0
3W,GOLD HOFER,2016,0
2W,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),2016,0
3W,GOOD ENERGY INDIA,2016,19
3W,GOOD WILL HI PRECISION,2016,15
3W,GOODENERGY INDIA PVT LTD,2016,97
3W,GOODWILL HI PRECISION WORKS PVT LTD,2016,0
3W,GOPAL AGROTECH,2016,0
3W,GOPAL AUTO MOTORS PVT LTD,2016,0
2W,GOREEN E-MOBILITY PVT LTD,2016,0
3W,GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,2016,0
3W,GRD MOTORS,2016,0
LMV,GREAT AUTOMOTIVE LIMITED,2016,2
3W,GREAVES COTTON LTD.,2016,0
2W,GREAVES ELECTRIC MOBILITY PVT LTD,2016,0
3W,GREAVES INDIA PVT LTD,2016,0
3W,GREEN EVOLVE PVT LTD,2016,0
3W,GREEN IMPEX,2016,627
3W,GREEN KAIKETSU AUTOMATIVE IND,2016,78
3W,GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD,2016,37
3W,GREEN SHUTTLE TECHNOLOGY PVT LTD,2016,0
3W,GREEN STAR MOTORS,2016,0
LMV,GREEN STAR MOTORS,2016,0
3W,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,2016,0
3W,GREEN TECHNOLOGIES,2016,0
3W,GREEN VALLEY MOTORS,2016,0
LMV,GREEN VALLEY MOTORS,2016,0
3W,GREEN WAY ECO RIDE,2016,0
3W,GREEN WHEELZ (INDIA),2016,0
3W,GREEN WORLD MOTORS PVT LTD,2016,0
3W,GREENETICS INDUSTRIES PVT LTD,2016,0
3W,GREENFIT INDUSTRIES LLP,2016,0
3W,GREENTECH AUTO LLP,2016,0
3W,GREENWHEELS AUTOMOBILE PVT LTD,2016,61
3W,GRG SMART VEHICLE PVT LTD,2016,0
3W,GRINDIA G MOTORS PVT LTD,2016,0
2W,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),2016,0
3W,GUJARAT TRACTOR CORP LTD,2016,1
3W,GURDEEP ENGINEERING WORKS,2016,1
3W,GURJEET AGRO INDUSTRIES,2016,1
3W,GURU JI WHEELS,2016,0
3W,GURUKIRPA INDUSTRIES,2016,0
3W,GURUKIRPA MOTORS,2016,0
3W,GURUKRAPA ENGINEERING WORKS,2016,0
3W,H. D. AUTOMOTIVES,2016,0
2W,H.M.S.I. PVT. LTD.,2016,3
3W,HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,2016,0
3W,HAITEK AUTOMOTIVE PVT LTD,2016,0
2W,HAMPI TRACTORS,2016,1
3W,HANUMAN UDYOG,2016,0
3W,HARJAS AGRO INDUSTRIES,2016,0
3W,HARSH TRADING CO,2016,0
3W,HARSHVIE INDUSTRIES PVT LTD,2016,0
2W,HAYASA E-MOBILITY (INDIA) PVT LTD,2016,0
3W,HBSS E MOBILITY PVT LTD,2016,0
3W,H-D MOTOR COMPANY INDIA PVT LTD,2016,0
3W,HERCULES CRANE PVT.LTD.,2016,0
2W,HERO ECO VEHICLES PVT LTD,2016,22
3W,HERO ECO VEHICLES PVT LTD,2016,10
2W,HERO ELECTRIC VEHICLE PVT LTD,2016,246
3W,HERO ELECTRIC VEHICLE PVT LTD,2016,94
LMV,HERO ELECTRIC VEHICLE PVT LTD,2016,0
2W,HERO ELECTRIC VEHICLES PVT. LTD,2016,34
3W,HERO ELECTRIC VEHICLES PVT. LTD,2016,0
2W,HERO HONDA MOTORS  LTD,2016,54
2W,HERO MOTOCORP LTD,2016,157
3W,HERO MOTOCORP LTD,2016,0
LMV,HETTRA HET TRAILER,2016,1
3W,HIM TEKNOFORGE LTD,2016,0
3W,HIND AGRO INDUSTRIES,2016,0
3W,HINDUSTAN MOTOR CORPORATION,2016,0
LMV,HINDUSTAN MOTOR CORPORATION,2016,0
2W,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,2016,1
LMV,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,2016,0
3W,HITECH  MECHANICAL WORKS,2016,0
3W,HITECH ELECTRIC AUTO CO,2016,27
3W,HITECH INDUSTRIES,2016,37
3W,HI-TECH INDUSTRIES,2016,0
3W,HITEK ELECTRIC AUTO CO,2016,0
3W,HITEK ELECTRIC AUTO CO.,2016,0
3W,HMT LIMITED,2016,0
2W,HOMFEEL VEGH AUTOMOBILES PVT LTD,2016,0
2W,HONDA CARS INDIA LTD,2016,81
LMV,HONDA CARS INDIA LTD,2016,1
2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2016,195
LMV,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2016,2
2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),2016,0
2W,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),2016,0
2W,HOOGHLY MOTORS PVT LTD,2016,0
3W,HOOGHLY MOTORS PVT LTD,2016,0
2W,HOP ELECTRIC MOBILITY PVT LTD,2016,0
3W,HOP MOTORS PVT LTD,2016,0
3W,HOTAGE INDIA,2016,5
2W,HOUSTAN INNOVATION LLP,2016,0
LMV,HOUSTAN INNOVATION LLP,2016,0
3W,HOVEL CYLINDER PVT LTD,2016,152
2W,HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),2016,0
3W,HUNDA EV PVT LTD,2016,0
3W,HUNDAL INDUSTRIES,2016,0
3W,HYKON INDIA LTD,2016,0
3W,HYUNDAI MOTOR INDIA LTD,2016,1
LMV,HYUNDAI MOTOR INDIA LTD,2016,5
LMV,"HYUNDAI MOTORS LTD, SOUTH KOREA",2016,0
3W,IDEAL JAWA INDIA PVT LTD,2016,0
3W,INDIA SAFE ENTERPRISE,2016,0
2W,INDIA YAMAHA MOTOR PVT LTD,2016,31
3W,INDIA YAMAHA MOTOR PVT LTD,2016,0
3W,INDIAN MOTORS,2016,0
3W,INDO FARM EQUIPMENT LIMITED,2016,0
2W,INDUS ELECTROTHERM INDIA LTD,2016,3
3W,INS AUTOMOBILES PVT LTD,2016,0
2W,INTERNATIONAL CARS & MOTORS LTD,2016,0
3W,INTERNATIONAL CARS & MOTORS LTD,2016,0
LMV,INTERNATIONAL TRACTORS LIMITED,2016,6
3W,INVVIGORS INDIA,2016,0
2W,IRA EDUTECH PVT LTD,2016,0
3W,ISUKII GREENS PVT LTD,2016,0
2W,ISUZU MOTOR INDIA PVT LTD,2016,0
2W,IVOOMI INNOVATION PVT LTD,2016,0
2W,IZANAU ELECTRIC LLP,2016,0
3W,J P AUTO TECH,2016,0
3W,J S AGRO INDUSTRIES,2016,0
3W,J S MOBILEON PVT LTD,2016,248
3W,J. S. AUTO (P) LTD,2016,95
3W,J.S.AUTO PVT LTD (KANPUR),2016,0
3W,JADE KOREA SPINE LIFE,2016,0
3W,JAGUAR LAND ROVER INDIA LIMITED,2016,0
LMV,JAGUAR LAND ROVER INDIA LIMITED,2016,0
LMV,JAI AMBE FABRICATION & ENGINEERING WORK,2016,0
LMV,JAI BHAVANI ENGINEERING  WORKS,2016,0
3W,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,2016,0
3W,JAIDKA POWER SYSTEMS PVT LTD,2016,0
LMV,JAIDKA POWER SYSTEMS PVT LTD,2016,0
3W,JAIN POWER CORP,2016,0
LMV,JAIN POWER CORP,2016,0
3W,JAISIK BUSINESS LINKS PVT LTD,2016,0
3W,JAISWAL INDUSTRIES,2016,0
3W,JAJODIA COMMODITIES PVT LTD,2016,0
3W,JAL ENTERPRISES,2016,0
LMV,JANANI TRAILERS,2016,0
3W,JAY ACE TECHNOLOGIES LTD,2016,36
LMV,JAY AMBE AGRICULTURE,2016,1
3W,JAYA AUTOMOTIVES PVT LTD      ,2016,3
LMV,JAYANTI AGRO CENTRES,2016,0
3W,JAYATI TOOLS,2016,0
3W,JAYDEV ENTERPRISE,2016,0
LMV,JAYEM AUTOMOTIVES PVT LTD,2016,0
3W,JAYNA AUTOMOBILES LLP,2016,0
3W,JCB INDIA LTD,2016,0
LMV,JEEVA TRAILERS,2016,0
2W,JEEVAA E-BIKE MFG PVT LTD,2016,0
3W,JEMCO ENGINEERING PVT LTD,2016,0
3W,JESSUN TECHNO PVT LTD,2016,0
2W,JIANGSU AIMA (IMPORTER: FUTURE EV),2016,0
2W,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),2016,0
2W,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),2016,0
2W,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),2016,0
2W,JIANGSU DALONG (IMPORTER: RILOX EV PVT LTD),2016,0
2W,JIANGSU DALONG (IMPORTER: SABOO TOR),2016,0
2W,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),2016,0
2W,JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),2016,0
2W,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),2016,0
2W,JIANGSU GUOWEI (IMPORTER:ELECTRO-TECH),2016,0
3W,JIANGSU JINPENG (IMPORTER: KKL HITECH EV),2016,0
2W,JIANGSU SUNHOU (IMPORTER: SABOO TOR),2016,0
2W,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),2016,0
2W,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),2016,0
2W,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),2016,0
3W,JIJO ELECTRIC WHEELS PVT LTD,2016,137
3W,JINDAL ELECTRIC VEHICLES,2016,0
2W,JITENDRA NEW EV-TECH PVT. LTD,2016,0
3W,JITENDRA NEW EV-TECH PVT. LTD,2016,0
LMV,JITENDRA NEW EV-TECH PVT. LTD,2016,0
3W,JITENDRA TEMPO PARTS,2016,0
3W,JMT VEHICLES PVT LTD,2016,0
LMV,JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),2016,1
3W,JOYRAM STEEL FABRICATION WORKS,2016,0
3W,JS MOBILEON PVT LTD,2016,0
3W,JSS ENGINEERING COMPANY,2016,0
2W,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),2016,0
2W,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),2016,0
2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),2016,0
2W,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),2016,0
LMV,JUNGHEINRICH AG AND CO,2016,0
3W,JUNO CASTINGS PVT LTD,2016,9
LMV,JUNO CASTINGS PVT LTD,2016,0
2W,K M MOTORS,2016,0
3W,K T ENTERPRISES,2016,0
3W,K. S. INDUSTRIES,2016,0
3W,K. V. INDUSTRIES,2016,0
2W,KABIRA MOBILITY LLP,2016,0
3W,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,2016,0
3W,KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,2016,0
2W,KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),2016,0
2W,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),2016,0
2W,KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),2016,0
2W,KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),2016,0
2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),2016,0
3W,KAKKAR ELECTRIC AUTO PVT LTD,2016,0
3W,KALIKA VAHAN PVT LTD,2016,0
3W,KALINGA VENTURES IND P,2016,0
3W,KALINGA VENTURES INDIA PVT LTD,2016,0
LMV,KALINGA VENTURES INDIA PVT LTD,2016,0
3W,KALPVRIKSH ELECTOMOBILES CO,2016,0
3W,KAMAZ INDUSTRIES,2016,0
3W,KANHA ELECTRIC VEHICLES,2016,0
3W,KANIFA AUTOMOTIVE PVT LTD,2016,0
3W,KAPTECH INDIA PVT LTD,2016,0
3W,KARNATAKA SCOOTERS LTD,2016,0
3W,KARTAR AGRO ENGINEERS PVT LTD,2016,0
3W,KARTAR AGRO INDUSTRIES PVT LTD,2016,0
LMV,KARUMALAIAN AGRO INDUSTRY     ,2016,0
MMV,KARUMALAIAN AGRO INDUSTRY     ,2016,0
3W,KATYAYANI AUTOMOTIVE,2016,0
3W,KAYAMEL MACHINE PRIVATE LTD,2016,0
3W,KCAS ELECTRIC VEHICLES PVT LTD,2016,0
3W,KELVINATOR INDIA LTD          ,2016,0
3W,KERALA AUTOMOBILES LIMITED,2016,0
3W,KETO MOTORS PVT LTD,2016,0
LMV,KETO MOTORS PVT LTD,2016,0
3W,KETRON ELECTRIC VEHICLES PVT LTD,2016,0
3W,KGN,2016,0
3W,KGN INDUSTRIES,2016,0
LMV,KGN INDUSTRIES,2016,0
3W,KHALSA  AGRO INDUSTRIES,2016,0
3W,KHALSA E-VEHICLES PVT LTD,2016,0
3W,KHAN ENGINEERING WORKS,2016,0
3W,KHEMRAJ AUTOMOTIVE INDUSTRIES,2016,48
LMV,KIA INDIA PRIVATE LIMITED,2016,0
2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2016,0
3W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2016,12
LMV,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2016,0
3W,KINETIC GREEN ENERGY P SOL LTD,2016,2005
3W,KINETIC MOTOR COMPANY LIMITED,2016,250
LMV,KION INDIA PVT LTD,2016,3
MMV,KION INDIA PVT LTD,2016,2
3W,KIRAN AUTOMOBILE INDUSTRY,2016,0
3W,KIRTI SOLAR LTD,2016,8
LMV,KISAN AGRO INDUSTRIES,2016,1
2W,KLB KOMAKI PVT LTD,2016,0
3W,KLB KOMAKI PVT LTD,2016,0
LMV,KLB KOMAKI PVT LTD,2016,0
3W,KNIGHT QUEEN INDUSTRIES PV LTD,2016,15
3W,KNIGHT QUEEN INDUSTRIES PVT LTD,2016,3
3W,KPT INDUSTRIES LTD,2016,0
3W,KPT MOTORS,2016,0
3W,KRANTI AUTOMOBILES LIMITED,2016,0
3W,KRANTI AUTOMOBILES LTD,2016,0
3W,KRANTI INTERNATIONAL,2016,0
3W,KRISHI ENGINEERING WORKS,2016,0
3W,KRISHNA ENGINEERING,2016,5
3W,KRISHNA ENGINEERING WORKS,2016,8
LMV,KRISHNA ENGINEERING WORKS,2016,0
3W,KRISHNA INDUSTRIES,2016,0
3W,KRISHNA VEHICALS,2016,0
2W,KRT MOTORS PVT LTD,2016,0
LMV,KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,2016,0
3W,KUKU AUTOMOTIVES,2016,190
LMV,KUKU AUTOMOTIVES,2016,0
3W,KUMAR ENGINEERING,2016,0
3W,KUMAR MOTORS PVT LTD,2016,1
3W,KUMARAN ENGINEERING ENTERPRISES,2016,0
2W,KYTE ENERGY PVT. LTD.,2016,0
3W,L & T CASE EQUIPMENT PVT LTD,2016,0
LMV,LAKSHMI AGRO INDUSTRIES,2016,1
3W,LAKSHMI AUTO TRADERS,2016,0
3W,LAKSHYA AUTO SALES CORPORATION,2016,0
3W,LAKSHYA MOTORS,2016,0
3W,LALA G E RICKSHAW AND SPARE PARTS,2016,0
3W,LAUNCHER MATERIAL HANDLING INDUSTRIES,2016,0
3W,LAWAT MOTORS,2016,0
3W,LAWAT MOTORS LLP,2016,0
LMV,LAWAT MOTORS LLP,2016,0
3W,LAXMI E-RICKSHAW COMPANY,2016,0
2W,LECTRIX EV PVT LTD,2016,0
3W,LECTRIX EV PVT LTD,2016,0
LMV,LECTRIX EV PVT LTD,2016,0
3W,LEOPAN MOTORS PRIVATE LIMITED,2016,0
2W,LI-IONS ELEKTRIK SOLUTIONS PVT LTD,2016,0
2W,LIMA VEHICLE GROUP(IMPORTER: ROUTE & MARS EV LLP),2016,0
3W,LIONIZE AUTOMOBILE PVT LTD,2016,0
LMV,LIUGONG INDIA PVT. LTD,2016,0
MMV,LIUGONG INDIA PVT. LTD,2016,0
2W,LML LIMITED,2016,0
3W,LML LIMITED,2016,22
LMV,LMV LTD,2016,0
3W,LOCAL TRAILER MANUFACTURER,2016,0
LMV,LOCAL TRAILER MANUFACTURER,2016,0
2W,LOG 9 MATERIALS SCIENTIFIC PVT LTD,2016,0
2W,LOHIA AUTO INDUSTRIES,2016,0
3W,LOHIA AUTO INDUSTRIES,2016,133
LMV,LOHIA AUTO INDUSTRIES,2016,0
3W,LOHIA AUTO INDUSTRIES LTD.,2016,400
3W,LORDS VEHICLE MFG PVT LTD,2016,0
3W,LOTEY AGRO INDUSTRY,2016,441
3W,LOTIA  MOTORS  LTD,2016,0
3W,LUCKY INDUSTRIES,2016,0
3W,M G INDUSTRIES,2016,0
LMV,M G INDUSTRIES,2016,0
3W,M K BROTHERS,2016,0
3W,M K ENTERPRISES,2016,210
LMV,M.G.P ENGINEERING WORKS,2016,2
3W,M.K. ENTERPRISES,2016,131
LMV,M.K. ENTERPRISES,2016,0
3W,M/S CHAMPION POLY PLAST,2016,3089
LMV,M/S CHAMPION POLY PLAST,2016,2
3W,M/S HOVEL CYLINDER PVT LTD,2016,84
LMV,M/S HOVEL CYLINDER PVT LTD,2016,0
3W,M/S JASRAJ AUTO AGENCY,2016,0
LMV,"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",2016,0
3W,M/S SHRIRAM AUTO TECH PVT LTD,2016,626
LMV,M/S SHRIRAM AUTO TECH PVT LTD,2016,0
3W,M/S SRISHTI AUTOMOBILES,2016,0
3W,"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",2016,0
3W,M/S TRISHIKA INDUSTRIES,2016,0
2W,M/S UNITY MOTOR BODY,2016,0
2W,M/S VISHNU CLEAN ENERGY VEHICLES LLP,2016,0
3W,M/S VISHNU CLEAN ENERGY VEHICLES LLP,2016,0
LMV,M/S VISHNU CLEAN ENERGY VEHICLES LLP,2016,0
3W,M/S. DAVE EXIM (P) LTD.,2016,0
2W,M2GO ELECTRIC VEHICLE PVT LTD,2016,0
3W,M2J E VAHAN PVT LTD,2016,0
3W,MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,2016,0
3W,MAA KALPANA ENTERPRISE,2016,0
2W,MAA LUXMI E-VEHICLES PVT. LTD.,2016,0
3W,MAA SHAKTI EXIM PVT LTD,2016,982
LMV,MAA SHAKTI EXIM PVT LTD,2016,0
3W,MAC AUTO INDIA,2016,0
LMV,MAC AUTO INDIA,2016,0
2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),2016,0
2W,MAC INTERNATIONAL (IMPORTER:HONESTY),2016,0
3W,MACNEILL ENGG LTD,2016,0
LMV,MACNEILL ENGG LTD,2016,2
LMV,MACNEILL ENGINEERING LIMITED,2016,0
LMV,MAHALINGA ENGG. INDUSTRIES  ,2016,0
2W,MAHARASTRA SCOOTER LIMITED,2016,0
3W,MAHI ENTERPRISES,2016,0
LMV,MAHI ENTERPRISES,2016,0
2W,MAHINDRA & MAHINDRA LIMITED,2016,1
3W,MAHINDRA & MAHINDRA LIMITED,2016,35
LMV,MAHINDRA & MAHINDRA LIMITED,2016,344
LMV,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),2016,1
3W,MAHINDRA & MAHINDRA LIMITED (TRACTOR),2016,0
2W,MAHINDRA ELECTRIC MOBILITY LIMITED,2016,0
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2016,0
LMV,MAHINDRA ELECTRIC MOBILITY LIMITED,2016,306
3W,MAHINDRA GUJARAT TRACTOR LIMITED,2016,1
3W,MAHINDRA LAST MILE MOBILITY LTD,2016,0
LMV,MAHINDRA LAST MILE MOBILITY LTD,2016,0
3W,MAHINDRA NAVISTAR  AUTOMOTIVES LTD,2016,0
3W,MAHINDRA NISSAN ALLWYN LTD.,2016,3
LMV,MAHINDRA RENAULT PVT.LTD.,2016,0
2W,MAHINDRA TWO WHEELERS LTD,2016,14
LMV,MAHINDRA TWO WHEELERS LTD,2016,0
LMV,MAHINDRA VEHICLE MANUFACTURER LIMITED,2016,0
3W,MAHTAB BODY MAKER,2016,0
3W,MALAK TECHNO PVT LTD,2016,0
3W,MALHOTRA  VEHICLE MANUFACTURING PVT LTD,2016,0
3W,MALI ENTERPRISES PVT LTD,2016,0
3W,MAN TRUCKS INDIA PVT. LTD.,2016,0
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2016,0
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2016,0
3W,MANITA CITY MOTORS LLP,2016,0
LMV,MANITA CITY MOTORS LLP,2016,0
3W,MANMOHAN KAUR,2016,0
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,2016,0
3W,MARKUS,2016,0
2W,MARUTHISAN PVT LTD,2016,0
LMV,MARUTI SUZUKI INDIA LTD,2016,11
2W,MAULIRAJ INDUSTRIES LLP,2016,0
3W,MAXI CAB,2016,0
3W,"MAYUR ENTERPRISES,BARIPADA",2016,0
2W,MECPOWER MOBILITY PVT. LTD.,2016,0
LMV,MEGHA TRAILERS,2016,0
LMV,MERCEDES -BENZ AG,2016,0
LMV,MERCEDES-BENZ INDIA PVT LTD,2016,0
2W,MEW ELECTRICALS LIMITED,2016,0
3W,MG MOTOR INDIA PVT LTD,2016,0
LMV,MG MOTOR INDIA PVT LTD,2016,0
2W,MICROAUTOTECH PVT. LTD.,2016,0
2W,MICROCON I2I PVT LTD,2016,0
3W,MILLENNIAL MOTORS LLP,2016,0
3W,MINI METRO,2016,681
2W,MINI METRO EV L.L.P,2016,0
3W,MINI METRO EV L.L.P,2016,125
LMV,MINI METRO EV L.L.P,2016,0
2W,MIRAKLE 5 AUTOMOBILES PVT LTD,2016,0
3W,MITHU BAJRANG ENG.WORKS,2016,0
3W,MLR AUTO LTD,2016,0
LMV,MLR AUTO LTD,2016,0
2W,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),2016,0
3W,MOHAN GENERAL TRADING COMPANY,2016,0
3W,MOMU AUTOMOTIVE,2016,0
3W,MONDAL TRADING,2016,0
3W,MOTOR & GENERAL SALES LTD.,2016,0
3W,MOTOR & GENERAL SALES PVT LTD,2016,0
LMV,MOTOR & GENERAL SALES PVT LTD,2016,0
LMV,MOTOROYALE KINETIC PRIVATE LIMITED,2016,0
2W,MOTOVOLT MOBILITY PVT LTD,2016,0
3W,MOTRAC MOTORS PVT LTD,2016,0
3W,MOVE STONE SERVICES PVT LTD,2016,0
LMV,MSI INDUSTRIES,2016,0
3W,MULTI DIMENSIONAL SOLUTIONS,2016,0
3W,MUNDE MECHANICAL WORKS,2016,0
LMV,MUTHUR AGRO ENGINEERING WORKS,2016,0
3W,MVM MOTORS PRIVATE LIMITED,2016,0
3W,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,2016,0
3W,NABH MOTORS PVT LTD,2016,29
3W,NAMAH INDUSTRIES PVT LTD,2016,0
3W,NAND ELECTRIC MOTOR VEHICLE PVT LTD,2016,0
3W,NANNHRAY AGIRCULTURE WORKS,2016,0
3W,NANYA AIRCONN PVT LTD,2016,0
3W,NARAINDASS AND SONS,2016,0
3W,NB TURNED  COMPONENTS PVT LTD,2016,0
LMV,NB TURNED  COMPONENTS PVT LTD,2016,0
3W,NBC ENGINEERING PVT LTD,2016,0
2W,NDS ECO MOTORS PVT LTD,2016,0
3W,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,2016,42
LMV,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,2016,10
3W,NEELAM AGRO EQUIP,2016,0
3W,NEELAM CYCLE,2016,0
3W,NEUON MOTORS LLP,2016,0
3W,NEW ARCANA INDIA,2016,125
3W,NEW CHAWLA INDUSTRIES,2016,0
3W,NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,2016,0
LMV,NEW MARTHWADA QUALITY TRAILOR,2016,0
3W,NEWTON INDIA INDUSTRIES PVT LTD,2016,0
2W,NEXZU MOBILITY PVT LTD,2016,0
3W,NEXZU MOBILITY PVT LTD,2016,0
3W,NGAGE IMPEX PVT LTD,2016,0
3W,NGAGE WHEEL PVT LTD,2016,0
3W,NHD MOTORS,2016,0
3W,NIBE MOTORS PVT LTD,2016,0
2W,NIC TEST ACCOUNT-1,2016,3
3W,NIC TEST ACCOUNT-1,2016,891
LMV,NIC TEST ACCOUNT-1,2016,3
3W,NICOLAS INDUSTRIES,2016,0
3W,NIKHIL FURNITURES,2016,1
2W,NINGBO SANJIANG (IMPORTER: VABRO EVTECH),2016,0
3W,NIPUN SANYANTRA PVT LTD,2016,0
3W,NIRMAL UTILITY SERVICES PVT LTD,2016,0
2W,NISIKI TECHNOLOGIES PVT LTD,2016,0
3W,NISSAN MOTOR INDIA PVT LTD,2016,408
LMV,NISSAN MOTOR INDIA PVT LTD,2016,2
3W,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,2016,0
2W,NUMEROS MOTORS PVT LTD,2016,0
2W,OBEN ELECTRIC VEHICLES PVT LTD,2016,0
3W,OCULUS AUTO INDUSTRIES LLP,2016,0
2W,ODYSSE ELECTRIC VEHICLES PVT LTD,2016,0
3W,OGATA MOTORS INDIA PVT LTD,2016,0
3W,OK PLAY INDIA LTD,2016,9
LMV,OK PLAY INDIA LTD,2016,0
2W,OKA MOTOR COMPANY LTD.,2016,0
2W,OKAYA EV PVT LTD,2016,0
2W,OKINAWA AUTOTECH PVT LTD,2016,1
3W,OKINAWA AUTOTECH PVT LTD,2016,0
LMV,OKINAWA AUTOTECH PVT LTD,2016,0
2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,2016,0
LMV,OLECTRA GREENTECH LTD,2016,0
MMV,OLECTRA GREENTECH LTD,2016,0
3W,OLYMPUS INDUSTRIES PVT LTD,2016,0
MMV,OLYMPUS INDUSTRIES PVT LTD,2016,0
2W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,2016,0
