category,maker,year,registrations
2W,ATOMEX E-MOTORS INDIA PVT LTD,2015,0
3W,ATR TECHNOSALES PRIVATE LIMITED,2015,0
3W,ATTOLENT AUTO GROUP PVT LTD,2015,0
3W,ATTOLENT AUTOGROUP PVT LTD,2015,35
3W,ATUL AUTO LTD,2015,1
LMV,ATUL AUTO LTD,2015,0
3W,ATUL GREENTECH PRIVATE LIMITED,2015,0
2W,ATUMOBILE PVT LTD,2015,0
3W,ATUT SANGAM,2015,0
LMV,AUDI AG,2015,0
3W,AUTOCROLA INDIA LTD,2015,0
3W,AUTOECO GREEN ENERGY PVT LTD,2015,0
3W,AUTOHAUS PRIVATE LIMITED,2015,0
3W,AUTOLITE (INDIA) LIMITED,2015,0
3W,AVL ELECTRIC VEHICLES PVT LTD,2015,0
LMV,AVL ELECTRIC VEHICLES PVT LTD,2015,0
3W,AVON CYCLE LTD INDIA,2015,0
2W,AVON CYCLES LTD,2015,0
3W,AVON CYCLES LTD,2015,0
LMV,AVON CYCLES LTD,2015,0
3W,AXCEED INDUSTRIES (OPC) PVT LTD,2015,0
2W,AYAAN ELECTRONIC PVT LTD,2015,0
3W,B24 ROKET EV,2015,0
3W,BABA E RICKSHAW & C BATTERIES,2015,0
3W,BABA E-VEHICLES,2015,0
3W,BAFNA AUTO CARS I PVT.LTD.,2015,0
3W,BAGHWAN RIKSHAW UDYOG,2015,0
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2015,0
2W,BAJAJ AUTO LTD,2015,161
3W,BAJAJ AUTO LTD,2015,37
LMV,BAJAJ AUTO LTD,2015,0
3W,BAJAJ IMPLEMENTS PVT LTD,2015,0
3W,BAJAJ IMPLEMENTS PVT. LTD,2015,0
3W,BAJAJ TEMPO LIMITED,2015,0
3W,BAL GOPAL WHEELS PVT LTD,2015,0
LMV,BAL GOPAL WHEELS PVT LTD,2015,0
3W,BALAJI TRADING COMPANY,2015,0
LMV,BALAMURUGAN ENGINEERING WORKS,2015,1
3W,BALAN ENGINEERING PVT LTD,2015,0
3W,BALI AUTO INDUSTRIES,2015,0
3W,"BASUDEB ENGINEERING, CUTTACK",2015,0
